StairIndex,Grid_i,Grid_j,X_center,Y_center,CumulativePressure,CumulativeSlip
1,5,13,-1.56,0.081,0.0,0.0
1,5,14,-1.56,0.08700000000000001,0.0,0.0
1,5,15,-1.56,0.093,0.0,0.0
1,5,16,-1.56,0.099,0.0,0.0
1,5,17,-1.56,0.105,374.13332882850955,1.3314104679269457e-05
1,5,18,-1.56,0.111,374.13332882850955,1.3314104679269457e-05
1,5,19,-1.56,0.117,374.13332882850955,1.3314104679269457e-05
1,5,20,-1.56,0.123,374.13332882850955,1.3314104679269457e-05
1,5,21,-1.56,0.129,876.3960318718571,2.6763548819876465e-05
1,5,22,-1.56,0.135,876.3960318718571,2.6763548819876465e-05
1,5,23,-1.56,0.14100000000000001,876.3960318718571,2.6763548819876465e-05
1,5,24,-1.56,0.147,876.3960318718571,2.6763548819876465e-05
1,5,25,-1.56,0.153,374.13332882850955,1.3314104679269457e-05
1,5,26,-1.56,0.159,374.13332882850955,1.3314104679269457e-05
1,5,27,-1.56,0.165,374.13332882850955,1.3314104679269457e-05
1,5,28,-1.56,0.171,374.13332882850955,1.3314104679269457e-05
1,5,29,-1.56,0.177,374.13332882850955,1.3314104679269457e-05
1,5,30,-1.56,0.183,374.13332882850955,1.3314104679269457e-05
1,5,31,-1.56,0.189,0.0,0.0
1,5,32,-1.56,0.195,0.0,0.0
1,5,33,-1.56,0.201,0.0,0.0
1,5,34,-1.56,0.20700000000000002,0.0,0.0
1,5,35,-1.56,0.213,0.0,0.0
1,5,36,-1.56,0.219,0.0,0.0
1,5,37,-1.56,0.225,0.0,0.0
1,5,38,-1.56,0.231,0.0,0.0
1,5,39,-1.56,0.23700000000000002,0.0,0.0
1,5,40,-1.56,0.243,0.0,0.0
1,5,41,-1.56,0.249,0.0,0.0
1,5,42,-1.56,0.255,0.0,0.0
1,5,43,-1.56,0.261,0.0,0.0
1,5,44,-1.56,0.267,0.0,0.0
1,5,45,-1.56,0.273,0.0,0.0
1,5,46,-1.56,0.279,0.0,0.0
1,5,47,-1.56,0.28500000000000003,0.0,0.0
1,5,48,-1.56,0.291,0.0,0.0
1,5,49,-1.56,0.297,0.0,0.0
1,6,0,-1.48,0.003,0.0,0.0
1,6,1,-1.48,0.009000000000000001,0.0,0.0
1,6,2,-1.48,0.015,0.0,0.0
1,6,3,-1.48,0.021,0.0,0.0
1,6,4,-1.48,0.027,0.0,0.0
1,6,5,-1.48,0.033,0.0,0.0
1,6,6,-1.48,0.039,0.0,0.0
1,6,7,-1.48,0.045,0.0,0.0
1,6,8,-1.48,0.051000000000000004,0.0,0.0
1,6,9,-1.48,0.057,0.0,0.0
1,6,10,-1.48,0.063,0.0,0.0
1,6,11,-1.48,0.069,0.0,0.0
1,6,12,-1.48,0.075,0.0,0.0
1,6,13,-1.48,0.081,0.0,0.0
1,6,14,-1.48,0.08700000000000001,1535.1696444834733,3.140121406470003e-05
1,6,15,-1.48,0.093,1535.1696444834733,3.140121406470003e-05
1,6,16,-1.48,0.099,1535.1696444834733,3.140121406470003e-05
1,6,17,-1.48,0.105,1991.165613556886,4.441530430644324e-05
1,6,18,-1.48,0.111,1991.165613556886,4.441530430644324e-05
1,6,19,-1.48,0.117,2414.3982510486594,5.63263666611274e-05
1,6,20,-1.48,0.123,3063.3494417785305,6.898703069401678e-05
1,6,21,-1.48,0.129,3437.48277060704,8.230113537328624e-05
1,6,22,-1.48,0.135,3437.48277060704,8.230113537328624e-05
1,6,23,-1.48,0.14100000000000001,3437.48277060704,8.230113537328624e-05
1,6,24,-1.48,0.147,3437.48277060704,8.230113537328624e-05
1,6,25,-1.48,0.153,3437.48277060704,8.230113537328624e-05
1,6,26,-1.48,0.159,3437.48277060704,8.230113537328624e-05
1,6,27,-1.48,0.165,3063.3494417785305,6.898703069401678e-05
1,6,28,-1.48,0.171,2414.3982510486594,5.63263666611274e-05
1,6,29,-1.48,0.177,2414.3982510486594,5.63263666611274e-05
1,6,30,-1.48,0.183,879.228606565186,2.492515259642737e-05
1,6,31,-1.48,0.189,0.0,0.0
1,6,32,-1.48,0.195,0.0,0.0
1,6,33,-1.48,0.201,0.0,0.0
1,6,34,-1.48,0.20700000000000002,0.0,0.0
1,6,35,-1.48,0.213,0.0,0.0
1,6,36,-1.48,0.219,0.0,0.0
1,6,37,-1.48,0.225,0.0,0.0
1,6,38,-1.48,0.231,0.0,0.0
1,6,39,-1.48,0.23700000000000002,0.0,0.0
1,6,40,-1.48,0.243,0.0,0.0
